時間	鯉魚潭	德基	寶山二	南化	曾文	烏山頭
20201102	7502.30	12546.78	2148.07	9065.34	18851.00	5459.00
20201103	7478.77	12511.99	2141.28	9060.43	18645.00	5609.00
20201104	7445.16	12457.05	2133.65	9065.34	18415.00	5659.00
20201105	7411.54	12416.69	2121.85	9065.34	18186.00	5726.00
20201106	7371.21	12339.19	2100.94	9050.61	17946.00	5785.00
20201107	7324.15	12299.19	2079.42	9060.43	17707.00	5718.00
20201108	7270.37	12219.58	2055.51	9065.34	17457.00	5651.00
20201109	7211.11	12151.80	2032.83	9050.61	17221.00	5567.00
20201110	7159.32	12053.56	2016.13	9045.70	16986.00	5492.00
20201111	7104.29	11969.81	1996.07	9030.97	16741.00	5426.00
20201112	7046.02	11875.30	1975.43	9026.06	16485.00	5509.00
20201113	6981.28	11756.50	1955.17	9006.42	16339.00	5693.00
20201114	6926.26	11704.34	1935.37	8991.69	16388.00	5592.00
20201115	6869.64	11636.03	1912.93	8972.05	16424.00	5534.00
20201116	6819.50	11611.51	1898.90	8927.86	16473.00	5492.00
20201117	6766.23	11459.85	1889.50	8883.67	16242.00	5443.00
20201118	6716.09	11379.25	1882.64	8854.21	16002.00	5517.00
20201119	6656.55	11243.25	1875.46	8830.01	15750.00	5592.00
20201120	6606.41	11124.35	1860.45	8814.90	15489.00	5651.00
20201121	6548.70	10980.70	1851.62	8800.20	15229.00	5617.00
20201122	6500.11	10936.62	1841.12	8785.47	14972.00	5576.00
20201123	6439.36	10838.54	1834.13	8785.47	14705.00	5542.00
20201124	6408.99	10723.36	1840.78	8765.83	14440.00	5592.00
20201125	6390.77	10596.81	1855.58	8741.28	14178.00	5601.00
20201126	6348.25	10502.04	1857.28	8711.82	13919.00	5709.00
20201127	6293.85	10433.14	1852.30	8706.91	13652.00	5819.00
20201128	6243.77	10386.72	1846.08	8692.18	13663.00	5946.00
20201129	6190.74	10282.45	1837.62	8677.45	13575.00	5903.00
20201130	6134.77	10167.01	1826.15	8672.54	13137.00	6065.00
20201131	6075.85	10031.35	1817.31	8662.72	12698.00	6444.00
20201132	6019.88	9871.62	1806.47	8628.35	12241.00	6753.00
20201202	5968.03	9743.66	1797.01	8593.98	11787.00	7047.00
20201203	5910.79	9662.88	1786.80	8579.50	11639.00	7342.00
20201204	5856.41	9541.05	1773.64	8565.15	11668.00	7150.00
20201205	5802.03	9410.65	1763.07	8550.80	11688.00	6890.00
20201206	5747.65	9289.95	1749.03	8536.40	11718.00	6628.00
20201207	5699.64	9187.89	1736.69	8517.31	11758.00	6374.00
20201208	5646.79	9077.19	1722.45	8483.83	11787.00	6194.00
20201209	5596.73	8978.17	1710.97	8450.34	11807.00	6031.00
20201210	5535.53	8888.47	1696.53	8435.99	11857.00	5861.00
20201211	--	--	--	--	--	--
